"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","22-Jul-2019","        264.70","        265.60","        266.30","        262.40","        263.95","        264.80","        264.36","    4419890","          1168432719.75","      42162","    2056014","         46.52"
"WIPRO","EQ","23-Jul-2019","        264.80","        264.90","        270.00","        263.80","        264.65","        264.50","        266.34","    4680618","          1246640970.95","      61161","    1636659","         34.97"
"WIPRO","EQ","24-Jul-2019","        264.50","        264.50","        265.85","        262.00","        264.65","        264.20","        263.46","    2249472","           592635981.05","      26750","     944585","         41.99"
"WIPRO","EQ","25-Jul-2019","        264.20","        265.45","        265.45","        261.50","        262.50","        262.25","        262.91","    4991181","          1312256151.60","      48938","    2625740","         52.61"
"WIPRO","EQ","26-Jul-2019","        262.25","        262.20","        264.75","        260.80","        263.35","        263.60","        263.04","    2719372","           715292838.15","      26216","     939947","         34.56"
"WIPRO","EQ","29-Jul-2019","        263.60","        263.00","        267.15","        260.25","        262.35","        262.40","        262.96","    2882263","           757921988.95","      36578","    1003607","         34.82"
"WIPRO","EQ","30-Jul-2019","        262.40","        262.90","        264.80","        261.00","        264.25","        262.30","        262.46","    2415087","           633854852.50","      29036","    1055033","         43.69"
"WIPRO","EQ","31-Jul-2019","        262.30","        262.50","        266.30","        260.55","        266.25","        265.30","        263.66","    2849216","           751212446.30","      31870","    1497577","         52.56"
"WIPRO","EQ","01-Aug-2019","        265.30","        271.50","        276.15","        268.55","        270.90","        270.40","        272.43","   17651207","          4808769713.90","     106048","    7453646","         42.23"
"WIPRO","EQ","02-Aug-2019","        270.40","        269.90","        270.90","        261.70","        263.75","        263.65","        264.41","    4978666","          1316384950.25","      52521","    1542125","         30.97"
"WIPRO","EQ","05-Aug-2019","        263.65","        261.15","        265.40","        260.30","        262.60","        262.00","        262.08","    3832734","          1004494241.90","      57932","    1443672","         37.67"
"WIPRO","EQ","06-Aug-2019","        262.00","        262.00","        262.70","        257.80","        258.95","        258.90","        259.69","    3953226","          1026594718.25","      51772","    1672950","         42.32"
